order_id,date,region,product,category,quantity,unit_price,customer_id
1001,2026-01-05,North,Wireless Mouse,Electronics,3,15.99,C001
1002,2026-01-06,South,Office Chair,Furniture,1,89.99,C002
1003,2026-01-07,North,USB-C Hub,Electronics,2,24.50,C003
1004,2026-01-08,East,Standing Desk,Furniture,1,249.00,C001
1005,2026-01-09,West,Wireless Mouse,Electronics,5,15.99,C004
1006,2026-01-10,South,Monitor Stand,Furniture,2,34.99,C005
1007,2026-01-12,North,Mechanical Keyboard,Electronics,1,79.99,C003
1008,2026-01-13,East,USB-C Hub,Electronics,3,24.50,C002
1009,2026-01-14,West,Office Chair,Furniture,2,89.99,C006
1010,2026-01-15,South,Wireless Mouse,Electronics,4,15.99,C001
1011,2026-01-16,North,Standing Desk,Furniture,1,249.00,C007
1012,2026-01-18,East,Mechanical Keyboard,Electronics,2,79.99,C004
1013,2026-01-19,West,Monitor Stand,Furniture,1,34.99,C005
1014,2026-01-20,North,USB-C Hub,Electronics,4,24.50,C006
1015,2026-01-21,South,Standing Desk,Furniture,1,249.00,C003
1016,2026-01-22,East,Wireless Mouse,Electronics,6,15.99,C007
1017,2026-01-23,West,Mechanical Keyboard,Electronics,1,79.99,C002
1018,2026-01-25,North,Office Chair,Furniture,1,89.99,C001
1019,2026-01-26,South,USB-C Hub,Electronics,2,24.50,C004
1020,2026-01-27,East,Monitor Stand,Furniture,3,34.99,C006
